sentence,relation
"Inclusion criteria for the meta-analysis were (1) sufficiently characterized patients such that it was clearly stated there was a diagnosis of AD by either Diagnostic and Statistical Manual of Mental Disorders  Revised Third Edition or National Institute of Neurological Disorders and Stroke-Alzheimer's Disease and Related Disorders Association criteria or there was enough clinical detail to determine this by our review, (2) clearly stated study exclusion criteria ie those studies that did not have stated exclusions for depression other neurologic disease and central nervous system-active medications were excluded, (3) use of standardized ginkgo extract in any stated dose, (4) randomized placebo-controlled and double-blind study design, (5) at least 1 outcome measure was an objective assessment of cognitive function, and (6) sufficient statistical information to allow for meta-analysis. ",Negative
"Inclusion criteria for the meta-analysis were (1) sufficiently characterized patients such that it was clearly stated there was a diagnosis of AD by either Diagnostic and Statistical Manual of Mental Disorders Revised Third Edition or National Institute of Neurological Disorders and Stroke-Alzheimer's Disease and Related Disorders Association criteria or there was enough clinical detail to determine this by our review, (2) clearly stated study exclusion criteria ie those studies that did not have stated exclusions for depression other neurologic disease and central nervous system-active medications were excluded, (3) use of standardized ginkgo extract in any stated dose, (4) randomized placebo-controlled and double-blind study design, (5) at least 1 outcome measure was an objective assessment of cognitive function, and (6) sufficient statistical information to allow for meta-analysis. ",Negative
"Inclusion criteria for the meta-analysis were (1) sufficiently characterized patients such that it was clearly stated there was a diagnosis of AD by either Diagnostic and Statistical Manual of Mental Disorders Revised Third Edition or National Institute of Neurological Disorders and Stroke-Alzheimer's Disease and Related Disorders Association criteria or there was enough clinical detail to determine this by our review, (2) clearly stated study exclusion criteria ie those studies that did not have stated exclusions for depression other neurologic disease and central nervous system-active medications were excluded, (3) use of standardized ginkgo extract in any stated dose, (4) randomized placebo-controlled and double-blind study design, (5) at least 1 outcome measure was an objective assessment of cognitive function, and (6) sufficient statistical information to allow for meta-analysis. ",Negative
"Inclusion criteria for the meta-analysis were (1) sufficiently characterized patients such that it was clearly stated there was a diagnosis of AD by either Diagnostic and Statistical Manual of Mental Disorders Revised Third Edition or National Institute of Neurological Disorders and Stroke-Alzheimer's Disease and Related Disorders Association criteria or there was enough clinical detail to determine this by our review, (2) clearly stated study exclusion criteria ie those studies that did not have stated exclusions for depression other neurologic disease  and central nervous system-active medications were excluded, (3) use of standardized ginkgo extract in any stated dose, (4) randomized placebo-controlled and double-blind study design, (5) at least 1 outcome measure was an objective assessment of cognitive function, and (6) sufficient statistical information to allow for meta-analysis. ",Negative
"Inclusion criteria for the meta-analysis were (1) sufficiently characterized patients such that it was clearly stated there was a diagnosis of AD by either Diagnostic and Statistical Manual of Mental Disorders Revised Third Edition or National Institute of Neurological Disorders and Stroke-Alzheimer's Disease and Related Disorders Association criteria or there was enough clinical detail to determine this by our review, (2) clearly stated study exclusion criteria ie those studies that did not have stated exclusions for depression  other neurologic disease and central nervous system-active medications were excluded, (3) use of standardized ginkgo extract in any stated dose, (4) randomized placebo-controlled and double-blind study design, (5) at least 1 outcome measure was an objective assessment of cognitive function, and (6) sufficient statistical information to allow for meta-analysis. ",Negative
CONCLUSIONS: Based on a quantitative analysis of the literature there is a small but significant effect of 3- to 6-month treatment with 120 to 240 mg of G. biloba extract on objective measures of cognitive function in AD . ,Treatment_of_disease
Additional research will be needed to define which ingredients in the ginkgo extract are producing its effect in individuals with AD . ,Treatment_of_disease
 Wheat bran decreases aberrant crypt foci preserves normal proliferation and increases intraluminal butyrate levels in experimental colon cancer . ,Treatment_of_disease
 Wheat bran decreases aberrant crypt foci  preserves normal proliferation and increases intraluminal butyrate levels in experimental colon cancer. ,Treatment_of_disease
BACKGROUND: Dietary wheat bran protects against colon cancer  but the mechanism(s) of this effect is not known. ,Treatment_of_disease
Butyrate produced by colonic bacterial fermentation of dietary polysaccharides such as wheat bran induces apoptosis and decreases proliferation in colon cancer cell lines. ,Treatment_of_disease
RESULTS: During tumor initiation wheat bran produced greater apoptosis (p = .01) a trend toward less proliferation and preserved the normal zone of proliferation (p = .01). ,Treatment_of_disease
"At tumor promotion wheat bran decreased the number of ACF (proximal colon p = .005, distal colon p = .047) and maintained the normal proliferative zone. ",Treatment_of_disease
"At tumor promotion wheat bran decreased the number of ACF (proximal colon p = .005, distal colon p = .047) and maintained the normal proliferative zone. ",Treatment_of_disease
" Wheat bran produced significantly higher fecal butyrate (p = .01, .004 .00001) levels than the fiber-free diet throughout the tumor promotion study. ",Negative
CONCLUSIONS: Wheat bran increased apoptosis and controlled proliferation during tumor initiation and resulted in decreased ACF. ,Treatment_of_disease
CONCLUSIONS: Wheat bran increased apoptosis and controlled proliferation during tumor initiation and resulted in decreased ACF . ,Treatment_of_disease
Among specific foods high in carotenoids broccoli and spinach were most consistently associated with a lower risk of cataract . ,Treatment_of_disease
Among specific foods high in carotenoids broccoli and spinach were most consistently associated with a lower risk of cataract . ,Treatment_of_disease
Effects of soybean diet on the beta cells in the streptozotocin treated rats for induction of diabetes . ,Negative
In the present study we showed that dietary soybean prevents induction of experimental hyperglycemia by retaining beta cell activity. ,Treatment_of_disease
Moreover a prolonged hyperglycemia was not observed in rats fed raw soybean even when this was substituted by the normal diet after streptozotocin injection. ,Cause_of_disease
Therefore we suggest that dietary soybean protected the streptozotocin-induced beta cell damage and restrained the development of hyperglycemia in rats. ,Treatment_of_disease
Several epidemiologic studies have suggested a role of tomato products in protecting against cancer and chronic diseases. ,Treatment_of_disease
Several epidemiologic studies have suggested a role of tomato products in protecting against cancer and chronic diseases . ,Treatment_of_disease
Histopathological studies of the specimens obtained from basilar arteries showed that pathological signs of proliferative vasculopathy  including narrowing of the vessel lumen corrugation of the lamina elastica and subendothelial thickening were present in all the animals in the control group while they could not be demonstrated in the Ginkgo biloba group. ,Treatment_of_disease
Histopathological studies of the specimens obtained from basilar arteries showed that pathological signs of proliferative vasculopathy including narrowing of the vessel lumen  corrugation of the lamina elastica and subendothelial thickening were present in all the animals in the control group while they could not be demonstrated in the Ginkgo biloba group. ,Treatment_of_disease
These results suggest that Ginkgo biloba may have a protective effect against subarachnoid hemorrhage -induced vasospasm and vasculopathy as a result of antioxidants. ,Treatment_of_disease
These results suggest that Ginkgo biloba may have a protective effect against subarachnoid hemorrhage-induced vasospasm and vasculopathy as a result of antioxidants. ,Treatment_of_disease
These results suggest that Ginkgo biloba may have a protective effect against subarachnoid hemorrhage-induced vasospasm and vasculopathy as a result of antioxidants. ,Treatment_of_disease
 Hepatitis was induced by the oral administration of 10% solution CCl4 in olive oil at a dosage of 3 ml/kg body weight every day during 7 days. ,Negative
Prevalence extent and severity of periodontitis as well as tooth loss and edentulism are influenced by tobacco consumption in a dose-dependent manner. ,Cause_of_disease
Prevalence extent and severity of periodontitis as well as tooth loss and edentulism are influenced by tobacco consumption in a dose-dependent manner. ,Cause_of_disease
Prevalence extent and severity of periodontitis as well as tooth loss and edentulism are influenced by tobacco consumption in a dose-dependent manner. ,Cause_of_disease
The effect of unfiltered coffee on potential biomarkers for colonic cancer risk in healthy volunteers: a randomized trial. ,Negative
BACKGROUND: Epidemiologic studies suggest that coffee use might protect against colorectal cancer . ,Treatment_of_disease
Inconsistencies as to the effect of coffee use and colorectal cancer between epidemiologic studies might be related to the type of coffee brew. ,Negative
Inconsistencies as to the effect of coffee use and colorectal cancer between epidemiologic studies might be related to the type of coffee brew. ,Negative
OBJECTIVE: We studied the effect of unfiltered coffee consumption on putative biomarkers for colonic cancer risk. ,Negative
 Garlic consumption and cancer prevention: meta-analyses of colorectal and stomach cancers. ,Negative
 Garlic consumption and cancer prevention: meta-analyses of colorectal and stomach cancers . ,Negative
 Garlic consumption and cancer prevention: meta-analyses of colorectal and stomach cancers . ,Negative
OBJECTIVE: The objective was to conduct meta-analyses of the epidemiologic literature on the association between garlic consumption and risk of stomach colon head and neck lung breast and prostate cancers . ,Negative
OBJECTIVE: The objective was to conduct meta-analyses of the epidemiologic literature on the association between garlic consumption and risk of stomach colon head and neck lung breast and prostate cancers . ,Negative
OBJECTIVE: The objective was to conduct meta-analyses of the epidemiologic literature on the association between garlic consumption and risk of stomach colon head and neck lung breast and prostate cancers . ,Negative
OBJECTIVE: The objective was to conduct meta-analyses of the epidemiologic literature on the association between garlic consumption and risk of stomach colon head and neck lung breast and prostate cancers . ,Negative
OBJECTIVE: The objective was to conduct meta-analyses of the epidemiologic literature on the association between garlic consumption and risk of stomach colon head and neck lung breast and prostate cancers . ,Negative
OBJECTIVE: The objective was to conduct meta-analyses of the epidemiologic literature on the association between garlic consumption and risk of stomach colon head and neck lung breast and prostate cancers . ,Negative
DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic  cooked garlic or both (RC garlic). ,Negative
DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic  cooked garlic or both (RC garlic). ,Negative
DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic  cooked garlic or both (RC garlic). ,Negative
DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic cooked garlic  or both (RC garlic). ,Negative
DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic cooked garlic  or both (RC garlic). ,Negative
DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic cooked garlic  or both (RC garlic). ,Negative
DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic cooked garlic or both (RC garlic ). ,Negative
DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic cooked garlic or both (RC garlic ). ,Negative
DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic cooked garlic or both (RC garlic ). ,Negative
Eighteen studies reported a relative risk estimate for RC garlic consumption and cancer risk. ,Association
The random-effects relative risk (RR) estimate of colorectal cancer and RC garlic consumption excluding garlic supplements was 0.69 (95% CI: 0.55 0.89). ,Treatment_of_disease
The random-effects relative risk (RR) estimate of colorectal cancer and RC garlic consumption excluding garlic supplements was 0.69 (95% CI: 0.55 0.89). ,Negative
An indication of publication bias for all cancers combined is evident from a funnel plot of RC garlic consumption and cancer risk and from the results of the Begg and Mazumdar test (P: = 0.049). ,Negative
An indication of publication bias for all cancers combined is evident from a funnel plot of RC garlic consumption and cancer risk and from the results of the Begg and Mazumdar test (P: = 0.049). ,Negative
CONCLUSIONS: High intake of RC garlic may be associated with a protective effect against stomach and colorectal cancers . ,Treatment_of_disease
CONCLUSIONS: High intake of RC garlic may be associated with a protective effect against stomach and colorectal cancers . ,Treatment_of_disease
In animal models cow's milk proteins are modestly and variably diabetogenic wheat or soybean proteins in the diet cause higher rates of autoimmune diabetes . ,Cause_of_disease
In animal models cow's milk proteins are modestly and variably diabetogenic  wheat or soybean proteins in the diet cause higher rates of autoimmune diabetes. ,Negative
In animal models cow's milk proteins are modestly and variably diabetogenic wheat or soybean proteins in the diet cause higher rates of autoimmune diabetes . ,Cause_of_disease
In animal models cow's milk proteins are modestly and variably diabetogenic  wheat or soybean proteins in the diet cause higher rates of autoimmune diabetes. ,Negative
Association of coffee consumption with gallbladder disease . ,Negative
 Coffee consumption was recently shown to protect against symptomatic gallbladder disease in men. ,Treatment_of_disease
The authors examined the relation of ultrasound-documented gallbladder disease with coffee drinking in 13938 adult participants in the Third National Health and Nutrition Examination Survey 1988-1994. ,Negative
The prevalence of total gallbladder disease was unrelated to coffee consumption in either men or women. ,Negative
However among women a decreased prevalence of previously diagnosed gallbladder disease was found with increasing coffee drinking (p = 0.027). ,Treatment_of_disease
These findings do not support a protective effect of coffee consumption on total gallbladder disease  although coffee may decrease the risk of symptomatic gallstones in women. ,Negative
These findings do not support a protective effect of coffee consumption on total gallbladder disease although coffee may decrease the risk of symptomatic gallstones in women. ,Negative
These findings do not support a protective effect of coffee consumption on total gallbladder disease  although coffee may decrease the risk of symptomatic gallstones in women. ,Negative
These findings do not support a protective effect of coffee consumption on total gallbladder disease although coffee may decrease the risk of symptomatic gallstones in women. ,Treatment_of_disease
Mutational hotspots within the p53 gene e.g. codon 157 have been identified for tobacco -related lung cancer  whereas these same mutations are found rarely in other cancers. ,Cause_of_disease
Mutational hotspots within the p53 gene e.g. codon 157 have been identified for tobacco -related lung cancer whereas these same mutations are found rarely in other cancers . ,Negative
Because limited data exist concerning the p53 mutation frequency and spectra in ex-smokers and nonsmokers we have analyzed p53 and K-ras mutations in 126 lung cancers from a population-based case-control study of nonsmoking (n = 117) or ex-smoking (n = 9) women from Missouri with quantitative assessments of exposure to environmental tobacco smoke. ,Negative
Such comparisons provide additional evidence of genetic damage caused by tobacco smoke during lung carcinogenesis . ,Cause_of_disease
BACKGROUND: The Goals for Health project is designed to change the cancer -related behaviors of tobacco use and dietary fat and fiber consumption. ,Cause_of_disease
A low familial income and tobacco smoking were associated with wheezing asthma  chronic bronchitis and emphysema. ,Association
A low familial income and tobacco smoking were associated with wheezing asthma chronic bronchitis and emphysema . ,Association
A low familial income and tobacco smoking were associated with wheezing  asthma chronic bronchitis and emphysema. ,Association
A low familial income and tobacco smoking were associated with wheezing asthma chronic bronchitis and emphysema. ,Association
This study emphasizes the role of reducing tobacco smoking in the prevention of chronic respiratory diseases . ,Cause_of_disease
Suppressive effect of coffee on lipopolysaccharide-induced hepatitis in D-galactosamine-sensitized rats. ,Treatment_of_disease
A coffee extract significantly suppressed lipopolysaccharide (LPS)-induced hepatitis in D-galactosamine-sensitized rats as assessed by the plasma alanine and aspartate aminotransferase activities when it was added to the diet (30 g/kg) and fed to rats for 14 days. ,Treatment_of_disease
The coffee extract suppressed LPS-induced hepatitis when singly force-fed (1.2 g/kg) 1.5 h prior to the injection of the drugs whereas a decaffeinated coffee extract had no significant effect. ,Treatment_of_disease
The coffee extract suppressed LPS-induced hepatitis when singly force-fed (1.2 g/kg) 1.5 h prior to the injection of the drugs whereas a decaffeinated coffee extract had no significant effect. ,Negative
These results indicate that coffee can protect animals from LPS-induced hepatitis  and that the effect of coffee might be mainly due to caffeine. ,Treatment_of_disease
These results indicate that coffee can protect animals from LPS-induced hepatitis  and that the effect of coffee might be mainly due to caffeine. ,Negative
For females in contrast both the absolute number of lung cancer deaths and the age-standardized rate of 7.9/100000 were among the highest values ever registered reflecting the different pattern of spread of the tobacco -related lung cancer epidemic in the two sexes. ,Cause_of_disease
For females in contrast both the absolute number of lung cancer deaths and the age-standardized rate of 7.9/100000 were among the highest values ever registered reflecting the different pattern of spread of the tobacco -related lung cancer epidemic in the two sexes. ,Negative
Among neoplasms showing favorable trends there were other tobacco -related neoplasms in men plus the continuing fall in stomach and cervix uteri. ,Negative
Among neoplasms showing favorable trends there were other tobacco -related neoplasms in men plus the continuing fall in stomach and cervix uteri. ,Cause_of_disease
CONCLUSIONS: The fall in cancer mortality observed over the last decade in Italy is attributable to a decline in lung and other tobacco -related neoplasms in males together with a persistent fall in stomach and uterine (cervical) cancer. ,Negative
CONCLUSIONS: The fall in cancer mortality observed over the last decade in Italy is attributable to a decline in lung and other tobacco -related neoplasms in males together with a persistent fall in stomach and uterine (cervical) cancer. ,Cause_of_disease
CONCLUSIONS: The fall in cancer mortality observed over the last decade in Italy is attributable to a decline in lung and other tobacco -related neoplasms in males together with a persistent fall in stomach and uterine (cervical) cancer . ,Negative
CONCLUSIONS: The fall in cancer mortality observed over the last decade in Italy is attributable to a decline in lung and other tobacco -related neoplasms in males together with a persistent fall in stomach and uterine (cervical) cancer . ,Negative
[Mortality trends in cancer attributable to tobacco in Mexico]. ,Cause_of_disease
OBJECTIVE: To describe the mortality trends of cancer attributable to tobacco smoking particularly lung cancer for the 1980-1997 period in Mexico. ,Cause_of_disease
OBJECTIVE: To describe the mortality trends of cancer attributable to tobacco smoking particularly lung cancer  for the 1980-1997 period in Mexico. ,Cause_of_disease
MATERIAL AND METHODS: Mortality trends were analyzed for each type of cancer associated to tobacco smoking according to the International Classification of Diseases (ICD). ,Cause_of_disease
The gender ratio for laryngeal cancer was striking: 4.21:1.00 probably due to the higher prevalence of male tobacco smokers. ,Cause_of_disease
Previous tobacco smoking was correlated with the mortality rate trends for lung cancer (beta: 0.910 IC 95%: 1.097-1.797 R2 0.827). ,Cause_of_disease
CONCLUSIONS: In Mexico increased tobacco smoking improved cancer diagnosis and the demographic transition are probably the main factors determining cancer mortality rates. ,Cause_of_disease
CONCLUSIONS: In Mexico increased tobacco smoking improved cancer diagnosis and the demographic transition are probably the main factors determining cancer mortality rates. ,Negative
Although tobacco -related cancer is a fast-growing public health problem having a poor prognosis tobacco smoking the main risk factor could be eliminated by health education and promotion together with publicity regulation and healthy taxation policies. ,Cause_of_disease
Although tobacco-related cancer is a fast-growing public health problem having a poor prognosis tobacco smoking the main risk factor could be eliminated by health education and promotion together with publicity regulation and healthy taxation policies. ,Negative
Inhibition of 712-dimethylbenz[a]anthracene (DMBA)-induced oral carcinogenesis in hamsters by tea and curcumin. ,Treatment_of_disease
In this study we studied the effects of tea and curcumin on 712-dimethylbenz[a]anthracene (DMBA)-induced oral carcinogenesis in hamsters. ,Negative
The combination of tea and curcumin significantly decreased the oral visible tumor incidence from 92.3% (24/26) to 69.2% (18/26) and the squamous cell carcinoma (SCC) incidence from 76.9% (20/26) to 42.3% (11/26). ,Treatment_of_disease
The combination of tea and curcumin significantly decreased the oral visible tumor incidence from 92.3% (24/26) to 69.2% (18/26) and the squamous cell carcinoma (SCC) incidence from 76.9% (20/26) to 42.3% (11/26). ,Treatment_of_disease
The combination of tea and curcumin significantly decreased the oral visible tumor incidence from 92.3% (24/26) to 69.2% (18/26) and the squamous cell carcinoma ( SCC ) incidence from 76.9% (20/26) to 42.3% (11/26). ,Treatment_of_disease
The combination of tea and curcumin also decreased the number of visible tumors and the tumor volume by 52.4 and 69.8% as well as the numbers of SCC dysplasic lesions and papillomas by 62.0 37.5 and 48.7% respectively. ,Treatment_of_disease
The combination of tea and curcumin also decreased the number of visible tumors and the tumor volume by 52.4 and 69.8% as well as the numbers of SCC dysplasic lesions and papillomas by 62.0 37.5 and 48.7% respectively. ,Treatment_of_disease
The combination of tea and curcumin also decreased the number of visible tumors and the tumor volume by 52.4 and 69.8% as well as the numbers of SCC  dysplasic lesions and papillomas by 62.0 37.5 and 48.7% respectively. ,Treatment_of_disease
The combination of tea and curcumin also decreased the number of visible tumors and the tumor volume by 52.4 and 69.8% as well as the numbers of SCC dysplasic lesions and papillomas by 62.0 37.5 and 48.7% respectively. ,Treatment_of_disease
The combination of tea and curcumin also decreased the number of visible tumors and the tumor volume by 52.4 and 69.8% as well as the numbers of SCC dysplasic lesions and papillomas by 62.0 37.5 and 48.7% respectively. ,Treatment_of_disease
 Green tea or curcumin treatment decreased the number of visible tumors by 35.1 or 39.6% the tumor volume by 41.6 or 61.3% and the number of SCC by 53.3 or 51.3% respectively. ,Treatment_of_disease
 Green tea or curcumin treatment decreased the number of visible tumors by 35.1 or 39.6% the tumor volume by 41.6 or 61.3% and the number of SCC by 53.3 or 51.3% respectively. ,Treatment_of_disease
 Green tea or curcumin treatment decreased the number of visible tumors by 35.1 or 39.6% the tumor volume by 41.6 or 61.3% and the number of SCC by 53.3 or 51.3% respectively. ,Treatment_of_disease
 Green tea also decreased the number of dysplasic lesions . ,Treatment_of_disease
 Tea and curcumin singly or in combination decreased the proliferation index in hyperplasia dysplasia and papillomas . ,Treatment_of_disease
 Tea and curcumin singly or in combination decreased the proliferation index in hyperplasia  dysplasia and papillomas. ,Treatment_of_disease
 Tea and curcumin singly or in combination decreased the proliferation index in hyperplasia dysplasia and papillomas. ,Treatment_of_disease
 Tea alone and in combination with curcumin significantly increased the apoptotic index in dysplasia and SCC. ,Treatment_of_disease
 Tea alone and in combination with curcumin significantly increased the apoptotic index in dysplasia and SCC . ,Treatment_of_disease
Curcumin alone and in combination with tea  significantly inhibited the angiogenesis in papilloma and SCC. ,Treatment_of_disease
Curcumin alone and in combination with tea  significantly inhibited the angiogenesis in papilloma and SCC . ,Treatment_of_disease
The results suggested that green tea and curcumin had inhibitory effects against oral carcinogenesis at the post-initiation stage and such inhibition may be related to the suppression of cell proliferation induction of apoptosis and inhibition of angiogenesis. ,Treatment_of_disease
The present study examines the effect of tobacco smoking on the expression of cyclooxygenase (COX)-2 gene COX enzymatic activity and prostaglandin (PG) synthesis in urothelial mucosal tissues from patients with bladder cancer and from normal individuals. ,Negative
Cigarette smoking use of other tobacco products and stomach cancer mortality in US adults: The Cancer Prevention Study II. ,Negative
Cigarette smoking use of other tobacco products and stomach cancer mortality in US adults: The Cancer Prevention Study II. ,Negative
Cigarette smoking is associated with increased risk of stomach cancer in many studies but there are limited data on this relationship in women and on risk associated with use of tobacco products other than cigarettes. ,Negative
We examined stomach cancer death rates in relation to cigarette smoking in women and use of cigarette cigar pipe or smokeless tobacco in men in a nationwide prospective mortality study in the United States (US). ,Negative
If causal the estimated proportion of stomach cancer deaths attributable to tobacco use would be 28% in US men and 14% in women. ,Cause_of_disease
We conclude that prolonged use of tobacco products is associated with increased stomach cancer mortality in men and women. ,Cause_of_disease
The accumulated evidence from this and other studies support reconsidering stomach cancer as a tobacco -related cancer. ,Cause_of_disease
The accumulated evidence from this and other studies support reconsidering stomach cancer as a tobacco -related cancer . ,Cause_of_disease
"On the other hand high intake of nonhydrogenated soybean cooking oil was related to a reduced risk of breast cancer among women who never deep-fried animal foods (odds ratio 0.48, 95% confidence interval 0.28-0.82 for the highest versus the lowest quintile, P for trend 0.02). ",Treatment_of_disease
This study also suggests that nonhydrogenated soybean oil if not used in high-temperature cooking may be associated with a reduced risk of breast cancer . ,Treatment_of_disease
 Tobacco smoke carcinogens DNA damage and p53 mutations in smoking-associated cancers . ,Cause_of_disease
It is estimated that cigarette smoking kills over 1 000 000 people each year by causing lung cancer as well as many other neoplasmas . p53 mutations are frequent in tobacco -related cancers and the mutation load is often higher in cancers from smokers than from nonsmokers. ,Negative
It is estimated that cigarette smoking kills over 1 000 000 people each year by causing lung cancer as well as many other neoplasmas. p53 mutations are frequent in tobacco -related cancers and the mutation load is often higher in cancers from smokers than from nonsmokers. ,Negative
It is estimated that cigarette smoking kills over 1 000 000 people each year by causing lung cancer as well as many other neoplasmas. p53 mutations are frequent in tobacco -related cancers and the mutation load is often higher in cancers from smokers than from nonsmokers. ,Cause_of_disease
It is estimated that cigarette smoking kills over 1 000 000 people each year by causing lung cancer as well as many other neoplasmas. p53 mutations are frequent in tobacco -related cancers and the mutation load is often higher in cancers from smokers than from nonsmokers. ,Negative
At several p53 mutational hotspots common to all cancers such as codons 248 and 273 a large fraction of the mutations are G to T events in lung cancers but are almost exclusively G to A transitions in non- tobacco -related cancers . ,Negative
At several p53 mutational hotspots common to all cancers such as codons 248 and 273 a large fraction of the mutations are G to T events in lung cancers but are almost exclusively G to A transitions in non- tobacco -related cancers. ,Negative
At several p53 mutational hotspots common to all cancers  such as codons 248 and 273 a large fraction of the mutations are G to T events in lung cancers but are almost exclusively G to A transitions in non- tobacco -related cancers. ,Negative
Patients with anaphylaxis to pea can have peanut allergy caused by cross-reactive IgE to vicilin (Ara h 1). ,Cause_of_disease
In this study 3 patients with a history of anaphylaxis to pea are described who subsequently had symptoms after ingestion of peanut. ,Cause_of_disease
In this study 3 patients with a history of anaphylaxis to pea are described who subsequently had symptoms after ingestion of peanut . ,Cause_of_disease
RESULTS: Peanut -related symptoms consisted of oral symptoms in all patients with additional urticaria and dyspnea or angioedema in 2 patients. ,Cause_of_disease
RESULTS: Peanut -related symptoms consisted of oral symptoms in all patients with additional urticaria and dyspnea or angioedema in 2 patients. ,Cause_of_disease
RESULTS: Peanut -related symptoms consisted of oral symptoms in all patients with additional urticaria and dyspnea or angioedema in 2 patients. ,Cause_of_disease
RESULTS: seven patients had true juxta-anastomotic aneurysms (>40 mm) in the residual infra-renal abdominal aorta the occurrence of which was associated with tobacco smoking and hypertension. ,Cause_of_disease
RESULTS: seven patients had true juxta-anastomotic aneurysms (>40 mm) in the residual infra-renal abdominal aorta the occurrence of which was associated with tobacco smoking and hypertension . ,Negative
 Tobacco smoking and hypertension are significant factors associated with the development of these aneurysms. ,Negative
 Tobacco smoking and hypertension are significant factors associated with the development of these aneurysms . ,Cause_of_disease
"Conversely soy beverage was associated with an increased risk of current asthma (2.05, 1.19 3.53) doctor-diagnosed asthma (1.69, 1.04 2.77) and BHR (1.65, 1.00 2.71). ",Cause_of_disease
"Conversely soy beverage was associated with an increased risk of current asthma (2.05, 1.19 3.53) doctor-diagnosed asthma (1.69, 1.04 2.77) and BHR (1.65, 1.00 2.71). ",Cause_of_disease
"Conversely soy beverage was associated with an increased risk of current asthma (2.05, 1.19 3.53) doctor-diagnosed asthma (1.69, 1.04 2.77) and BHR (1.65, 1.00 2.71). ",Cause_of_disease
"Apples and pears appeared to protect against current asthma (0.83, 0.71 0.98) asthma (0.88, 0.78 1.00) and BHR (0.88, 0.77 1.00). ",Treatment_of_disease
"Apples and pears appeared to protect against current asthma (0.83, 0.71 0.98) asthma (0.88, 0.78 1.00) and BHR (0.88, 0.77 1.00). ",Treatment_of_disease
"Apples and pears appeared to protect against current asthma (0.83, 0.71 0.98) asthma (0.88, 0.78 1.00) and BHR (0.88, 0.77 1.00). ",Treatment_of_disease
" Apples and pears appeared to protect against current asthma (0.83, 0.71 0.98) asthma (0.88, 0.78 1.00) and BHR (0.88, 0.77 1.00). ",Treatment_of_disease
" Apples and pears appeared to protect against current asthma (0.83, 0.71 0.98) asthma (0.88, 0.78 1.00) and BHR (0.88, 0.77 1.00). ",Treatment_of_disease
" Apples and pears appeared to protect against current asthma (0.83, 0.71 0.98) asthma (0.88, 0.78 1.00) and BHR (0.88, 0.77 1.00). ",Treatment_of_disease
CONCLUSIONS: The consumption of dairy products soy beverages and apples and pears  but not of nutrients per se was associated with a range of asthma definitions. ,Association
CONCLUSIONS: The consumption of dairy products soy beverages and apples and pears but not of nutrients per se was associated with a range of asthma definitions. ,Association
CONCLUSIONS: The consumption of dairy products soy beverages and apples and pears but not of nutrients per se was associated with a range of asthma definitions. ,Association
The herbal medicine Dipsacus asper wall extract reduces the cognitive deficits and overexpression of beta-amyloid protein induced by aluminum exposure. ,Treatment_of_disease
In the present study we sought to evaluate the protective effects of the herbal medicine Dipsacus asper extract against the cognitive impairment and overexpression of hippocampal beta-amyloid protein (Abeta) induced by chronic Al exposure in rats. ,Negative
The present results suggest that Dipsacus asper extract may possess therapeutic effects against Alzheimer's disease . ,Treatment_of_disease
Since the increasing epidemic of lung cancer (in men) as well as other tobacco -related cancers is observed in Portugal the important component of such a programme should be a nationwide tobacco control programme. ,Negative
Since the increasing epidemic of lung cancer (in men) as well as other tobacco -related cancers  is observed in Portugal the important component of such a programme should be a nationwide tobacco control programme. ,Cause_of_disease
Since the increasing epidemic of lung cancer (in men) as well as other tobacco-related cancers is observed in Portugal the important component of such a programme should be a nationwide tobacco control programme. ,Negative
Since the increasing epidemic of lung cancer (in men) as well as other tobacco-related cancers  is observed in Portugal the important component of such a programme should be a nationwide tobacco control programme. ,Negative
 Coffee consumption and risk of rheumatoid arthritis . ,Negative
OBJECTIVE: Recent reports have suggested an association between consumption of coffee or decaffeinated coffee and the risk of rheumatoid arthritis (RA) although data are sparse and somewhat inconsistent. ,Association
OBJECTIVE: Recent reports have suggested an association between consumption of coffee or decaffeinated coffee and the risk of rheumatoid arthritis ( RA ) although data are sparse and somewhat inconsistent. ,Association
OBJECTIVE: Recent reports have suggested an association between consumption of coffee or decaffeinated coffee and the risk of rheumatoid arthritis (RA) although data are sparse and somewhat inconsistent. ,Association
